Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 13.35,   4.73E-009, 
 13.40,   3.74E-009, 
 13.45,   2.96E-009, 
 13.50,   2.50E-009, 
 13.55,   2.50E-009, 
 13.60,   3.03E-009, 
 13.65,   4.15E-009, 
 13.70,   6.71E-009, 
 13.75,   1.03E-008, 
 13.80,   1.43E-008, 
 13.85,   1.73E-008, 
 13.90,   1.94E-008, 
 13.95,   2.14E-008, 
 14.00,   2.31E-008, 
 14.05,   2.34E-008, 
 14.10,   2.30E-008, 
 14.15,   2.33E-008, 
 14.20,   2.36E-008, 
 14.25,   2.16E-008, 
 14.30,   2.10E-008, 
 14.35,   1.86E-008, 
 14.40,   1.29E-008, 
 14.45,   8.49E-009, 
 14.50,   6.30E-009, 
 14.55,   5.99E-009, 
 14.60,   6.97E-009, 
 14.65,   9.71E-009, 
 14.70,   1.61E-008, 
 14.75,   2.75E-008, 
 14.80,   3.95E-008, 
 14.85,   4.65E-008, 
 14.90,   5.03E-008, 
 14.95,   5.49E-008, 
 15.00,   5.88E-008, 
 15.05,   5.75E-008, 
 15.10,   5.49E-008, 
 15.15,   5.62E-008, 
 15.20,   5.77E-008, 
 15.25,   5.17E-008, 
 15.30,   4.96E-008, 
 15.35,   4.42E-008, 
 15.40,   2.90E-008, 
 15.45,   1.48E-008, 
 15.50,   9.13E-009, 
 15.55,   7.04E-009, 
 15.60,   6.73E-009, 
 15.65,   7.84E-009, 
 15.70,   1.08E-008, 
 15.75,   1.56E-008, 
 15.80,   2.08E-008, 
 15.85,   2.47E-008, 
 15.90,   2.76E-008, 
 15.95,   3.08E-008, 
 16.00,   3.26E-008, 
 16.05,   3.25E-008, 
 16.10,   3.20E-008, 
 16.15,   3.29E-008, 
 16.20,   3.26E-008, 
 16.25,   3.04E-008, 
 16.30,   2.89E-008, 
 16.35,   2.51E-008, 
 16.40,   1.74E-008, 
 16.45,   1.27E-008, 
 16.50,   1.27E-008, 
 16.55,   1.75E-008, 
 16.60,   2.94E-008, 
 16.65,   5.24E-008, 
 16.70,   9.77E-008, 
 16.75,   1.47E-007, 
 16.80,   1.72E-007, 
 16.85,   1.86E-007, 
 16.90,   2.01E-007, 
 16.95,   2.22E-007, 
 17.00,   2.23E-007, 
 17.05,   2.05E-007, 
 17.10,   2.08E-007, 
 17.15,   2.23E-007, 
 17.20,   2.02E-007, 
 17.25,   1.83E-007, 
 17.30,   1.78E-007, 
 17.35,   1.33E-007, 
 17.40,   5.72E-008, 
 17.45,   3.64E-008, 
 17.50,   4.42E-008, 
 17.55,   7.81E-008, 
 17.60,   1.42E-007, 
 17.65,   2.38E-007, 
 17.70,   4.20E-007, 
 17.75,   6.08E-007, 
 17.80,   7.13E-007, 
 17.85,   7.71E-007, 
 17.90,   8.34E-007, 
 17.95,   9.20E-007, 
 18.00,   9.30E-007, 
 18.05,   8.47E-007, 
 18.10,   8.45E-007, 
 18.15,   9.12E-007, 
 18.20,   8.31E-007, 
 18.25,   7.43E-007, 
 18.30,   7.29E-007, 
 18.35,   5.25E-007, 
 18.40,   1.36E-007, 
 18.45,   3.57E-008, 
 18.50,   1.67E-008, 
 18.55,   9.67E-009, 
 18.60,   6.57E-009, 
 18.65,   4.67E-009, 
 18.70,   3.67E-009, 
 18.75,   3.09E-009, 
 18.80,   2.83E-009, 
 18.85,   2.70E-009, 
 18.90,   2.55E-009, 
 18.95,   2.58E-009, 
 19.00,   2.65E-009, 
