Sep 19, 2019  04:20:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 60.60,   1.19E-010, 
 60.70,   8.14E-011, 
 60.80,   8.14E-012, 
 60.90,  -6.57E-011, 
 61.00,  -3.66E-011, 
 61.10,  -6.63E-011, 
 61.20,  -1.10E-010, 
 61.30,  -6.10E-011, 
 61.40,   3.43E-011, 
 61.50,   5.58E-011, 
 61.60,  -1.74E-012, 
 61.70,  -1.16E-010, 
 61.80,  -1.73E-010, 
 61.90,  -1.15E-010, 
 62.00,  -2.05E-010, 
 62.10,  -2.53E-010, 
 62.20,  -1.86E-010, 
 62.30,  -1.29E-010, 
 62.40,  -6.40E-011, 
 62.50,  -6.74E-011, 
 62.60,  -8.78E-011, 
 62.70,  -1.32E-010, 
 62.80,  -6.16E-011, 
 62.90,  -9.01E-011, 
 63.00,   1.45E-011, 
 63.10,  -3.02E-011, 
 63.20,   8.20E-011, 
 63.30,   9.07E-011, 
 63.40,  -5.52E-011, 
 63.50,  -9.94E-011, 
 63.60,   1.74E-012, 
 63.70,  -1.16E-012, 
 63.80,  -9.94E-011, 
 63.90,  -9.01E-011, 
 64.00,  -1.05E-010, 
 64.10,   4.59E-011, 
 64.20,   8.55E-011, 
 64.30,   1.42E-010, 
 64.40,   2.05E-010, 
 64.50,   1.35E-010, 
 64.60,   1.45E-010, 
 64.70,   2.21E-011, 
 64.80,   8.95E-011, 
 64.90,   1.10E-010, 
 65.00,   1.38E-010, 
